TEAM_ID|DIVISION|LEAGUE|PREFIX_1|PREFIX_2|TEAM|URL
Buffalo Bills|AFC East|nfl|buf|buffalo-bills|Buffalo Bills|http://www.espn.com/nfl/team/_/name/buf/buffalo-bills
Miami Dolphins|AFC East|nfl|mia|miami-dolphins|Miami Dolphins|http://www.espn.com/nfl/team/_/name/mia/miami-dolphins
New England Patriots|AFC East|nfl|ne|new-england-patriots|New England Patriots|http://www.espn.com/nfl/team/_/name/ne/new-england-patriots
New York Jets|AFC East|nfl|nyj|new-york-jets|New York Jets|http://www.espn.com/nfl/team/_/name/nyj/new-york-jets
Arizona Cardinals|NFC West|nfl|ari|arizona-cardinals|Arizona Cardinals|http://www.espn.com/nfl/team/_/name/ari/arizona-cardinals
Los Angeles Rams|NFC West|nfl|lar|los-angeles-rams|Los Angeles Rams|http://www.espn.com/nfl/team/_/name/lar/los-angeles-rams
San Francisco 49ers|NFC West|nfl|sf|san-francisco-49ers|San Francisco 49ers|http://www.espn.com/nfl/team/_/name/sf/san-francisco-49ers
Seattle Seahawks|NFC West|nfl|sea|seattle-seahawks|Seattle Seahawks|http://www.espn.com/nfl/team/_/name/sea/seattle-seahawks
Denver Broncos|AFC West|nfl|den|denver-broncos|Denver Broncos|http://www.espn.com/nfl/team/_/name/den/denver-broncos
Kansas City Chiefs|AFC West|nfl|kc|kansas-city-chiefs|Kansas City Chiefs|http://www.espn.com/nfl/team/_/name/kc/kansas-city-chiefs
Los Angeles Chargers|AFC West|nfl|lac|los-angeles-chargers|Los Angeles Chargers|http://www.espn.com/nfl/team/_/name/lac/los-angeles-chargers
Oakland Raiders|AFC West|nfl|oak|oakland-raiders|Oakland Raiders|http://www.espn.com/nfl/team/_/name/oak/oakland-raiders
Chicago Bears|NFC North|nfl|chi|chicago-bears|Chicago Bears|http://www.espn.com/nfl/team/_/name/chi/chicago-bears
Detroit Lions|NFC North|nfl|det|detroit-lions|Detroit Lions|http://www.espn.com/nfl/team/_/name/det/detroit-lions
