TEAM_NAME|TEAM|DIVISION|LEAGUE|PREFIX_2
UTSA|UTSA|Conference USA|mens-college-basketball|ut-san-antonio-roadrunners
UTEP|UTEP|Conference USA|mens-college-basketball|utep-miners
W Kentucky|W Kentucky|Conference USA|mens-college-basketball|western-kentucky-hilltoppers
Cleveland State|Cleveland State|Horizon|mens-college-basketball|cleveland-state-vikings
Detroit Mercy|Detroit Mercy|Horizon|mens-college-basketball|detroit-mercy-titans
Green Bay|Green Bay|Horizon|mens-college-basketball|green-bay-phoenix
IUPUI|IUPUI|Horizon|mens-college-basketball|iupui-jaguars
Milwaukee|Milwaukee|Horizon|mens-college-basketball|milwaukee-panthers
N Kentucky|N Kentucky|Horizon|mens-college-basketball|northern-kentucky-norse
Oakland|Oakland|Horizon|mens-college-basketball|oakland-golden-grizzlies
UIC|UIC|Horizon|mens-college-basketball|uic-flames
Valparaiso|Valparaiso|Horizon|mens-college-basketball|valparaiso-crusaders
Wright State|Wright State|Horizon|mens-college-basketball|wright-state-raiders
Youngstown St|Youngstown St|Horizon|mens-college-basketball|youngstown-state-penguins
Brown|Brown|Ivy|mens-college-basketball|brown-bears
Columbia|Columbia|Ivy|mens-college-basketball|columbia-lions
Cornell|Cornell|Ivy|mens-college-basketball|cornell-big-red
Dartmouth|Dartmouth|Ivy|mens-college-basketball|dartmouth-big-green
Harvard|Harvard|Ivy|mens-college-basketball|harvard-crimson
Penn|Penn|Ivy|mens-college-basketball|pennsylvania-quakers
Princeton|Princeton|Ivy|mens-college-basketball|princeton-tigers
Yale|Yale|Ivy|mens-college-basketball|yale-bulldogs
Canisius|Canisius|MAAC|mens-college-basketball|canisius-golden-griffins
Fairfield|Fairfield|MAAC|mens-college-basketball|fairfield-stags
Iona|Iona|MAAC|mens-college-basketball|iona-gaels
Manhattan|Manhattan|MAAC|mens-college-basketball|manhattan-jaspers
Marist|Marist|MAAC|mens-college-basketball|marist-red-foxes
Monmouth|Monmouth|MAAC|mens-college-basketball|monmouth-hawks
Niagara|Niagara|MAAC|mens-college-basketball|niagara-purple-eagles
Quinnipiac|Quinnipiac|MAAC|mens-college-basketball|quinnipiac-bobcats
Rider|Rider|MAAC|mens-college-basketball|rider-broncs
St Peter's|St Peter's|MAAC|mens-college-basketball|saint-peter's-peacocks
Siena|Siena|MAAC|mens-college-basketball|siena-saints
Akron|Akron|Mid-American|mens-college-basketball|akron-zips
Ball State|Ball State|Mid-American|mens-college-basketball|ball-state-cardinals
Bowling Green|Bowling Green|Mid-American|mens-college-basketball|bowling-green-falcons
Buffalo|Buffalo|Mid-American|mens-college-basketball|buffalo-bulls
Cent Michigan|Cent Michigan|Mid-American|mens-college-basketball|central-michigan-chippewas
E Michigan|E Michigan|Mid-American|mens-college-basketball|eastern-michigan-eagles
Kent State|Kent State|Mid-American|mens-college-basketball|kent-state-golden-flashes
Miami (OH)|Miami (OH)|Mid-American|mens-college-basketball|miami-(oh)-redhawks
N Illinois|N Illinois|Mid-American|mens-college-basketball|northern-illinois-huskies
Ohio|Ohio|Mid-American|mens-college-basketball|ohio-bobcats
Toledo|Toledo|Mid-American|mens-college-basketball|toledo-rockets
W Michigan|W Michigan|Mid-American|mens-college-basketball|western-michigan-broncos
Bethune-Cookman|Bethune-Cookman|MEAC|mens-college-basketball|bethune-cookman-wildcats
Coppin State|Coppin State|MEAC|mens-college-basketball|coppin-state-eagles
Delaware State|Delaware State|MEAC|mens-college-basketball|delaware-state-hornets
Florida A&M|Florida A&M;|MEAC|mens-college-basketball|florida-a%26m-rattlers
Hampton|Hampton|MEAC|mens-college-basketball|hampton-pirates
Howard|Howard|MEAC|mens-college-basketball|howard-bison
MD-E Shore|MD-E Shore|MEAC|mens-college-basketball|maryland-eastern-shore-hawks
Morgan State|Morgan State|MEAC|mens-college-basketball|morgan-state-bears
Norfolk State|Norfolk State|MEAC|mens-college-basketball|norfolk-state-spartans
NC A&T|NC A&T;|MEAC|mens-college-basketball|north-carolina-a%26t-aggies
NC Central|NC Central|MEAC|mens-college-basketball|north-carolina-central-eagles
Savannah State|Savannah State|MEAC|mens-college-basketball|savannah-state-tigers
S Carolina St|S Carolina St|MEAC|mens-college-basketball|south-carolina-state-bulldogs
Bradley|Bradley|Missouri Valley|mens-college-basketball|bradley-braves
Drake|Drake|Missouri Valley|mens-college-basketball|drake-bulldogs
Evansville|Evansville|Missouri Valley|mens-college-basketball|evansville-purple-aces
Illinois State|Illinois State|Missouri Valley|mens-college-basketball|illinois-state-redbirds
Indiana State|Indiana State|Missouri Valley|mens-college-basketball|indiana-state-sycamores
Loyola-Chicago|Loyola-Chicago|Missouri Valley|mens-college-basketball|loyola-chicago-ramblers
Missouri State|Missouri State|Missouri Valley|mens-college-basketball|missouri-state-bears
Northern Iowa|Northern Iowa|Missouri Valley|mens-college-basketball|northern-iowa-panthers
S Illinois|S Illinois|Missouri Valley|mens-college-basketball|southern-illinois-salukis
Air Force|Air Force|Mountain West|mens-college-basketball|air-force-falcons
Boise State|Boise State|Mountain West|mens-college-basketball|boise-state-broncos
Colorado State|Colorado State|Mountain West|mens-college-basketball|colorado-state-rams
Fresno State|Fresno State|Mountain West|mens-college-basketball|fresno-state-bulldogs
Nevada|Nevada|Mountain West|mens-college-basketball|nevada-wolf-pack
New Mexico|New Mexico|Mountain West|mens-college-basketball|new-mexico-lobos
San Diego State|San Diego State|Mountain West|mens-college-basketball|san-diego-state-aztecs
San Jose State|San Jose State|Mountain West|mens-college-basketball|san-jos%C3%A9-state-spartans
UNLV|UNLV|Mountain West|mens-college-basketball|unlv-rebels
Utah State|Utah State|Mountain West|mens-college-basketball|utah-state-aggies
Wyoming|Wyoming|Mountain West|mens-college-basketball|wyoming-cowboys
Bryant|Bryant|Northeast|mens-college-basketball|bryant-bulldogs
Cent Conn St|Cent Conn St|Northeast|mens-college-basketball|central-connecticut-blue-devils
Fair Dickinson|Fair Dickinson|Northeast|mens-college-basketball|fairleigh-dickinson-knights
LIU Brooklyn|LIU Brooklyn|Northeast|mens-college-basketball|liu-brooklyn-blackbirds
Mt St Mary's|Mt St Mary's|Northeast|mens-college-basketball|mt.-st.-mary's-mountaineers
Robert Morris|Robert Morris|Northeast|mens-college-basketball|robert-morris-colonials
Sacred Heart|Sacred Heart|Northeast|mens-college-basketball|sacred-heart-pioneers
St Francis (BKN)|St Francis (BKN)|Northeast|mens-college-basketball|st.-francis-(bkn)-terriers
St Francis (PA)|St Francis (PA)|Northeast|mens-college-basketball|st.-francis-(pa)-red-flash
Wagner|Wagner|Northeast|mens-college-basketball|wagner-seahawks
Austin Peay|Austin Peay|Ohio Valley|mens-college-basketball|austin-peay-governors
Belmont|Belmont|Ohio Valley|mens-college-basketball|belmont-bruins
E Illinois|E Illinois|Ohio Valley|mens-college-basketball|eastern-illinois-panthers
E Kentucky|E Kentucky|Ohio Valley|mens-college-basketball|eastern-kentucky-colonels
Jacksonville St|Jacksonville St|Ohio Valley|mens-college-basketball|jacksonville-state-gamecocks
Morehead State|Morehead State|Ohio Valley|mens-college-basketball|morehead-state-eagles
Murray State|Murray State|Ohio Valley|mens-college-basketball|murray-state-racers
SIU ED|SIU ED|Ohio Valley|mens-college-basketball|siu-edwardsville-cougars
SE Missouri St|SE Missouri St|Ohio Valley|mens-college-basketball|southeast-missouri-state-redhawks
Tennessee St|Tennessee St|Ohio Valley|mens-college-basketball|tennessee-st-tennessee-state
Tenn Tech|Tenn Tech|Ohio Valley|mens-college-basketball|tennessee-tech-golden-eagles
UT Martin|UT Martin|Ohio Valley|mens-college-basketball|ut-martin-skyhawks
Arizona|Arizona|Pac-12|mens-college-basketball|arizona-wildcats
Arizona State|Arizona State|Pac-12|mens-college-basketball|arizona-state-sun-devils
Cal|Cal|Pac-12|mens-college-basketball|california-golden-bears
Colorado|Colorado|Pac-12|mens-college-basketball|colorado-buffaloes
Oregon|Oregon|Pac-12|mens-college-basketball|oregon-ducks
Oregon State|Oregon State|Pac-12|mens-college-basketball|oregon-state-beavers
Stanford|Stanford|Pac-12|mens-college-basketball|stanford-cardinal
UCLA|UCLA|Pac-12|mens-college-basketball|ucla-bruins
